,site,month,day,dist,date,time,shannon,signal,taxarich,abundance,eptnum,eptrich
1,up1,dec,1,0,Dec-13,1,2.090929117,4.25,16,215,111,4
2,up2,dec,1,1.8,Dec-13,1,0.190497337,3.444444444,9,757,7,2
3,up3,dec,1,3.2,Dec-13,1,1.200932716,3.3,12,263,7,4
4,up4,dec,1,3.9,Dec-13,1,0.808677199,3.3125,8,182,4,3
5,ds1,dec,1,4.08,Dec-13,1,1.209956109,3.545454545,11,164,7,3
6,ds2,dec,1,4.83,Dec-13,1,1.2044018,3.6,10,96,5,2
7,ds3,dec,1,6.53,Dec-13,1,1.111454632,3.92,9,446,2,1
8,ds4,dec,1,7.08,Dec-13,1,1.09187926,3.08,10,307,2,2
9,up1,apr,126,0,Apr-14,2,0.95915365,4.14,10,277,42,4
10,up2,apr,126,1.8,Apr-14,2,1.620059797,3.266666667,7,31,5,2
11,up3,apr,126,3.2,Apr-14,2,1.303470646,3.368421053,8,73,0,0
12,up4,apr,126,3.9,Apr-14,2,1.43991212,3.285714286,7,90,2,1
13,ds1,apr,126,4.08,Apr-14,2,1.263625672,3,7,13,0,0
14,ds2,apr,126,4.83,Apr-14,2,1.123256535,3.133333333,6,85,0,0
15,ds3,apr,126,6.53,Apr-14,2,1.361392879,3.368421053,7,81,1,1
16,ds4,apr,126,7.08,Apr-14,2,0.97619005,2.7,5,24,1,1
17,up1,aug,260,0,Aug-14,3,2.028046768,4.916666667,9,19,10,5
18,up2,aug,260,1.8,Aug-14,3,0.900256051,2.75,3,8,1,1
19,up3,aug,260,3.2,Aug-14,3,2.122938552,4.423076923,11,70,22,4
20,up4,aug,260,3.9,Aug-14,3,0.73562194,2.2,3,8,1,1
21,ds1,aug,260,4.08,Aug-14,3,2.239215591,5.214285714,14,80,39,6
22,ds2,aug,260,4.83,Aug-14,3,2.108735928,4.315789474,13,136,63,6
23,ds3,aug,260,6.53,Aug-14,3,1.512397125,4.6,7,48,22,3
24,ds4,aug,260,7.08,Aug-14,3,1.411211076,3.36,11,116,4,3
25,up1,nov,336,0,Nov-14,4,1.868437719,4.854166667,16,647,407,7
26,up2,nov,336,1.8,Nov-14,4,1.232187343,4.447368421,12,570,114,4
27,up3,nov,336,3.2,Nov-14,4,0.800013964,3.1875,5,179,10,2
28,up4,nov,336,3.9,Nov-14,4,1.208819785,3.289473684,14,669,57,5
29,ds1,nov,336,4.08,Nov-14,4,1.496965309,4.470588235,6,48,25,3
30,ds2,nov,336,4.83,Nov-14,4,1.533167342,3.260869565,12,85,12,5
31,ds3,nov,336,6.53,Nov-14,4,1.748965168,4.41025641,12,328,74,4
32,ds4,nov,336,7.08,Nov-14,4,0.891263864,3.217391304,7,539,72,2
33,up1,may,518,0,May-15,5,1.517498095,4.7,6,18,1,1
34,up2,may,518,1.8,May-15,5,1.487816716,4.75,6,30,6,1
35,up3,may,518,3.2,May-15,5,1.600316417,3.75,6,46,3,1
36,up4,may,518,3.9,May-15,5,2.039462581,4.65625,9,118,24,2
37,ds1,may,518,4.08,May-15,5,0.313746096,4.4375,7,392,4,1
38,ds2,may,518,4.83,May-15,5,0.942364873,3.352941176,5,202,0,0
39,ds3,may,518,6.53,May-15,5,0.527105395,3.076923077,4,366,0,0
40,ds4,may,518,7.08,May-15,5,0.742136782,2.769230769,5,351,0,0
