ancylidae,anostraca,baetidae,caenidae,ceratopogonidae ,chironominae,chrysomelidae,coloburiscidae,culicidae ,curculionidae,diamesinae,ecnomidae,empididae,gripopterygidae,hydrobiosidae,hydrochidae,hydropsychidae,hydrophilidae,hydroptilidae,leptoceridae,leptophlebiidae,micronectidae,mites,muscidae,oligochaeta,orthocladiinae,physidae,podonominae,psychodidae,staphylinidae,simulidae,scitidae,tanypodinae,tipulidae, odonota 
1,1,48,8,6,23,0,0,0,0,0,0,10,0,0,0,0,0,3,0,52,3,9,0,42,3,0,0,0,0,2,0,1,3,0
1,0,6,1,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,733,0,0,0,0,0,1,0,0,0,0
0,0,4,1,0,53,12,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,10,0,169,4,0,0,0,0,2,0,0,0,0
0,0,1,1,0,46,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,128,2,0,0,0,0,0,0,1,0,0
1,0,4,1,0,50,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,2,2,0,92,8,0,0,0,0,0,0,0,0,0
0,0,3,0,1,66,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,4,2,0,11,5,0,0,0,0,0,0,1,0,0
0,0,0,2,2,280,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,77,64,0,0,0,0,1,0,14,0,0
0,0,0,1,2,203,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,35,1,0,18,44,1,0,0,0,0,0,0,0,0
0,0,28,6,4,9,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,211,3,0,0,0,0,8,0,0,0,0
0,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,13,0,0,0,0,0,6,0,0,0,0
0,0,0,0,0,25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,2,0,6,0,0,4,0,0,1,0
0,0,2,0,9,41,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,0,0,0,0,6,0,0,0,0
0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,1,0
0,0,0,0,2,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,5,1,0,0,0,3,0,0,0,0
0,0,1,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,36,5,0,0,0,0,15,0,0,0,0
0,0,1,0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,3,1,1,1,0,0,0,0,0,0,0,3,0,0,0,0,1,0,2,0,0,0,5,0,0,0,0,0,2,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,2,0,0,0,0,0,0,0,0
0,0,4,5,12,16,0,0,0,0,0,0,1,3,0,0,0,0,0,0,10,0,0,0,11,2,0,0,0,0,2,0,4,0,0
0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,0
0,0,5,4,4,11,0,1,0,0,0,0,1,13,2,0,0,0,0,0,14,0,0,0,17,2,0,2,0,0,3,0,0,1,0
0,0,33,6,7,15,0,1,0,0,0,0,1,11,1,0,0,0,0,0,11,0,0,0,30,4,0,0,1,0,15,0,0,0,0
0,0,19,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,13,2,0,0,0,0,9,0,0,0,0
0,0,1,2,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,66,6,0,2,3,0,0,0,1,0,0
0,0,212,82,3,47,0,1,0,0,0,0,9,0,9,0,2,0,2,0,99,0,20,1,142,7,0,0,0,1,10,0,0,0,0
0,0,39,68,3,22,0,0,0,0,0,0,4,0,4,0,0,0,0,0,3,0,1,0,379,10,2,0,0,0,35,0,0,0,0
0,0,4,6,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131,2,0,0,0,0,0,0,0,0,0
0,0,2,45,1,48,0,0,0,0,0,0,8,0,2,0,1,0,0,0,7,0,8,0,462,9,0,0,0,0,57,0,1,18,0
0,0,11,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,15,0,0,0,0,0,7,0,0,0,0
0,0,4,5,0,43,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,21,5,0,0,0,0,1,0,1,1,0
0,0,25,42,6,98,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,11,0,109,24,0,0,0,0,2,0,2,2,0
0,0,71,1,1,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,390,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,4,1,0,4,0
0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,4,0,0,2,2
0,0,0,0,5,15,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,4,0,0,0,5,0,0
0,0,0,0,8,14,0,0,0,0,0,0,0,23,0,0,0,0,1,0,0,0,0,0,14,0,0,0,20,0,18,0,6,14,0
0,0,0,0,3,1,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,368,0,0,0,1,0,13,0,0,2,0
0,0,0,0,9,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,8,0,0,0,0,2,0
0,0,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,1,0,0,0,0,4,0
0,0,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,189,1,0,0,1,0,0,0,0,0,0
