x_var,y_var,transform,subset_expr,n,estimate,p_value
zn,pco1,raw,none,40,-0.2982497914708038,0.061584194452959075
zn,pco1,log10,none,40,-0.3568530163778297,0.023798621955299325
cu,pco1,raw,none,40,-0.14031832813219391,0.3878109752672222
cu,pco1,log,none,40,-0.09166855481016456,0.5737309486913225
sed,pco1,raw,none,40,0.14675354433656126,0.36619416514089276
sed,pco1,log,none,40,0.15575291862267815,0.33720349748060474
alk,pco1,raw,none,40,0.19714719804123304,0.2227149739349109
vel,pco1,log,none,40,0.2407438731026794,0.1345431631885612
cod,pco1,raw,none,40,0.041528971434730784,0.7991608481302448
cod,pco1,raw,cod < 30,39,0.023158595034263058,0.8887085394336022
cod,pco1,log,cod < 30,39,0.023325946925119856,0.8879093849722514
toc,pco1,raw,none,40,-0.018541632073996374,0.9095876510934554
temp,pco1,raw,none,40,-0.644212562539445,7.274236783207299e-6
temp,pco1,log,none,40,-0.6516399555219846,5.253279658684747e-6
sali,pco1,raw,none,32,-0.11219798413460583,0.5409537464428767
sali,pco1,raw,sali < 0.4,31,-0.3084403028672202,0.09137400883470395
sali,pco1,log,sali < 0.4,31,-0.36920001347793513,0.040953918477216016
cfpom,pco1,raw,none,40,0.2199095486530219,0.17272948652338926
cfpom,pco1,raw,cfpom < 25,39,0.11365375661445014,0.4908785121141448
cfpom,pco1,log,cfpom < 25,39,0.17822916424828478,0.27767903599562954
turb,pco1,raw,none,40,0.12301469811714448,0.4495163553973772
turb,pco1,log,none,40,0.08599989392150748,0.5977471872653106
no3,pco1,raw,none,40,0.2648680789124545,0.09859539423047893
no3,pco1,raw,no3 < 0.2,25,-0.01467296770935644,0.9445022145027263
no3,pco1,log1p,no3 < 0.2,25,-0.014884624371166475,0.943702894455775
do,pco2,raw,none,24,-0.39047714306455933,0.059227531757075694
do,pco1,sqrt,none,24,0.3760030242908858,0.07017046089326492
nh3,pco1,raw,none,38,0.12534852550826348,0.45334319650937394
nh3,pco1,log1p,none,38,0.12418479189696144,0.45758056090736365
op,pco1,raw,none,40,-0.023856555795038363,0.8838279986544378
op,pco1,log1p,none,40,-0.025231262024574,0.877183333584182
tp,pco1,raw,none,38,-0.08982934290003823,0.5917279618287119
tp,pco1,log,none,38,-0.1818008758856739,0.2746600910530518
tp,pco1,sqrt,none,38,-0.13476970858524542,0.4198310982298026
chla,pco1,raw,none,40,-0.25461364900137784,0.11285027495679086
chla,pco1,log,none,40,-0.39040272481151184,0.012754740338352158
cond,pco1,raw,none,32,-0.11796775909804712,0.5202062150554508
cond,pco1,log,none,32,-0.2557498138881383,0.15771393863384728
ph1,pco1,raw,none,32,-0.04138609239610978,0.8220595800748024
ph1,pco1,log,none,32,-0.05157256627976457,0.7792336183675397
ph2,pco1,raw,none,40,-0.1637485015039816,0.31267161614597616
ph2,pco1,log,none,40,-0.16579811763453306,0.3065696286065364
do,pco1,raw,none,24,0.36901180110642856,0.07597868156058717
do,pco1,log,none,24,0.38241332686575846,0.06514831047802903
pred1,pco1,raw,none,40,0.935506393863765,9.258123984322841e-19
pred2,pco2,raw,none,40,0.8671116652934897,4.635393537904754e-13
cod,toc,raw,none,40,0.6257128673131757,1.5775994871750947e-5
cr,pco2,raw,none,40,0.3717512167917781,0.01817892903663461
tn,pco1,log,none,38,0.14503630383225707,0.38495411566847115
no2,pco1,raw,none,40,-0.049062572906723965,0.7636886675447624
alk,pco1,raw,none,40,0.19714719804123304,0.2227149739349109
alk,pco1,log,none,40,0.1431629771885941,0.3781649104279222
turb,toc,raw,none,40,0.49086200765284677,0.001300268121152693
tp,ind1000,raw,none,38,0.49150341792503743,0.0017259277098559372
tp,ind1000,log,none,38,0.5566642853262365,2.8395692194766494e-4
dayflow,chla,raw,none,40,0.06637425165019083,0.6840627547803051
dayflow,chla,log,none,40,-0.0033748300904835513,0.9835108896732675
dflow,dayflow,raw,none,40,0.7714211198187085,5.683144860056535e-9
