figure_file,axis,description
06_pco2_fitted_and_residual.jpg,pco2,Environmental fitted values and residual structure
06_pco2_comparison.jpg,pco2,"Observed, spatiotemporal, and environmental comparison"
06_pco2_residual_vs_prediction.jpg,pco2,Residuals plotted against spatiotemporal predictions
06_pco3_fitted_and_residual.jpg,pco3,Environmental fitted values and residual structure
06_pco3_comparison.jpg,pco3,"Observed, spatiotemporal, and environmental comparison"
06_pco3_residual_vs_prediction.jpg,pco3,Residuals plotted against spatiotemporal predictions
06_pco4_fitted_and_residual.jpg,pco4,Environmental fitted values and residual structure
06_pco4_comparison.jpg,pco4,"Observed, spatiotemporal, and environmental comparison"
06_pco4_residual_vs_prediction.jpg,pco4,Residuals plotted against spatiotemporal predictions
06_pco5_fitted_and_residual.jpg,pco5,Environmental fitted values and residual structure
06_pco5_comparison.jpg,pco5,"Observed, spatiotemporal, and environmental comparison"
06_pco5_residual_vs_prediction.jpg,pco5,Residuals plotted against spatiotemporal predictions
06_pco6_fitted_and_residual.jpg,pco6,Environmental fitted values and residual structure
06_pco6_comparison.jpg,pco6,"Observed, spatiotemporal, and environmental comparison"
06_pco6_residual_vs_prediction.jpg,pco6,Residuals plotted against spatiotemporal predictions
