response,predictor,n,intercept,slope,r_squared,adj_r_squared,p_value
pco1,shannon,40,-0.28166165836698315,0.21681091266373004,0.12511871576094696,0.10209552407044553,0.025147436045840854
pco1,signal,40,-0.3473317059824138,0.09316510637598432,0.050895228086068466,0.025918786719912323,0.1616052331717299
pco1,taxarich,40,0.3096440916434539,-0.035900764248516404,0.15851053219130015,0.13636607251212385,0.010948656391181182
pco1,abundance,40,0.22314528770389483,-0.0010915753342492104,0.5365090384811344,0.5243119079148484,7.766838596559707e-8
pco1,eptnum,40,0.03535774475580708,-0.0012119192718357183,0.07336942448878525,0.048984409343753255,0.09092006725697276
pco1,eptrich,40,0.07343714082640576,-0.030283357041816835,0.03539667235052621,0.010012374254487422,0.24499663618248557
pco2,shannon,40,-0.28820449525509406,0.22184730435916272,0.22469247691779592,0.20428964736300104,0.002002627939467773
pco2,signal,40,-0.7980612506609718,0.21406471114429476,0.4608725817191081,0.4466850180801373,1.4710103823435182e-6
pco2,taxarich,40,-0.37054387013607304,0.04296160813171863,0.38934267831768504,0.37327274879972927,1.6923943581328368e-5
pco2,abundance,40,-0.05683996158491849,2.780479960128094e-4,0.05970756651903286,0.03496302879584945,0.1286246082749767
pco2,eptnum,40,-0.05348569763337442,0.0018332715555569663,0.2879662204118636,0.2692284893700705,3.575253352871148e-4
pco2,eptrich,40,-0.24010391880904253,0.0990119252820795,0.6490073715950597,0.6397707234791402,3.614376773345247e-10
pco3,shannon,40,0.2856404882702523,-0.21987364313142324,0.2334149343580503,0.21324164315694627,0.0015896585452232145
pco3,signal,40,-0.10521780686011348,0.028222670144793977,0.008472059330085166,-0.017620781213860015,0.5721568206464704
pco3,taxarich,40,0.17373686277885017,-0.020143404380156563,0.09051879647522956,0.06658508059299861,0.059233162774036674
pco3,abundance,40,-0.09510604261100489,4.6523684779750386e-4,0.17678284414310608,0.1551192347784509,0.006905847804201022
pco3,eptnum,40,-0.001654901436053252,5.6723271158632324e-5,2.915496721530899e-4,-0.026016567441737637,0.9167139966530156
pco3,eptrich,40,0.07265935811744434,-0.02996262190410085,0.06285449217820109,0.038192768288153656,0.11867139616359984
pco4,shannon,40,-0.1802224198585435,0.13872739214325774,0.11099572471810511,0.08760087536858152,0.03566680273600696
pco4,signal,40,-0.4187995825523222,0.11233500134502684,0.16033284171320766,0.13823633754776576,0.010459174573287986
pco4,taxarich,40,-0.1082746152935096,0.012553578584754739,0.041995971396002446,0.016785339064318228,0.20461931543978457
pco4,abundance,40,0.0054458807068230594,-2.663999367407635e-5,6.924041370985354e-4,-0.025605164175083184,0.8719577801690126
pco4,eptnum,40,-0.001478719618040137,5.068447705364654e-5,2.780606110187386e-4,-0.026030411478165094,0.918656924793622
pco4,eptrich,40,0.017877950496234887,-0.0073723507200968656,0.0045455682252146384,-0.021650601032016548,0.6793455719528584
pco5,shannon,40,-0.17877952881791379,0.1376167172817696,0.1360874723885088,0.1133529321882063,0.01915817857262655
pco5,signal,40,-0.2567692886178176,0.06887346497925534,0.07509138574133363,0.050751685366105526,0.0870673210298376
pco5,taxarich,40,-0.11836318169114242,0.013723267442451288,0.06252900926082638,0.037858720030848,0.11966166593455083
pco5,abundance,40,0.004677904848984165,-2.288323272096974e-5,6.365318327553959e-4,-0.025662506803224794,0.8771914466568391
pco5,eptnum,40,-0.013354140985502604,4.5772548365047224e-4,0.028254893243474175,0.0026826535919866057,0.29983111987524047
pco5,eptrich,40,-0.04940308572854872,0.020372406485999462,0.04324688435528274,0.01806917078568493,0.19786006751417648
pco6,shannon,40,-0.022181366867510134,0.017074252926565968,0.0024688120230596795,-0.023782008713175706,0.7607680548832897
pco6,signal,40,-0.09617245783809548,0.02579642776804168,0.012414643033550091,-0.013574445307672267,0.49367288743527815
pco6,taxarich,40,-0.03037220415291042,0.003521414974250479,0.004852100074727505,-0.021336002554884992,0.6693070072672825
pco6,abundance,40,-0.03272677578587066,1.600918468184939e-4,0.03671577036261742,0.011366185372159943,0.23623253299473337
pco6,eptnum,40,-0.008877035467398441,3.0426856786284134e-4,0.014713856283548364,-0.01121472644583199,0.4559056845171515
pco6,eptrich,40,-0.026057929210664098,0.010745537818830546,0.014179317128292124,-0.01176333242096339,0.4642677128750472
